Year,Tournament,Winner,Runner-up,Score
1991,US Open,Monica Seles,Martina Navratilova,"7–6(1), 6–1"
1991,Wimbledon Championships (Open Era),Steffi Graf,Gabriela Sabatini,"6–4, 3–6, 8–6"
1991,French Open,Monica Seles,Arantxa Sánchez Vicario,"6–3, 6–4"
1991,Australian Open,Monica Seles,Jana Novotná,"5–7, 6–3, 6–1"
1990,US Open,Gabriela Sabatini,Steffi Graf,"6–2, 7–6(4)"
1990,Wimbledon Championships (Open Era),Martina Navratilova,Zina Garrison,"6–4, 6–1"
1990,French Open,Monica Seles,Steffi Graf,"7–6(6), 6–4"
1990,Australian Open,Steffi Graf,Mary Joe Fernández,"6–3, 6–4"
1989,US Open,Steffi Graf,Martina Navratilova,"3–6, 7–5, 6–1"
1989,Wimbledon Championships (Open Era),Steffi Graf,Martina Navratilova,"6–2, 6–7(1), 6–1"
1989,French Open,Arantxa Sánchez Vicario,Steffi Graf,"7–6(6), 3–6, 7–5"
1989,Australian Open,Steffi Graf,Helena Suková,"6–4, 6–4"
1988,US Open,Steffi Graf,Gabriela Sabatini,"6–3, 3–6, 6–1"
1988,Wimbledon Championships (Open Era),Steffi Graf,Martina Navratilova,"5–7, 6–2, 6–1"
1988,French Open,Steffi Graf,Natasha Zvereva,"6–0, 6–0"
1988,Australian Open,Steffi Graf,Chris Evert,"6–1, 7–6(3)"
1987,US Open,Martina Navratilova,Steffi Graf,"7–6(4), 6–1"
1987,Wimbledon Championships (Open Era),Martina Navratilova,Steffi Graf,"7–5, 6–3"
1987,French Open,Steffi Graf,Martina Navratilova,"6–4, 4–6, 8–6"
1987,Australian Open,Hana Mandlíková,Martina Navratilova,"7–5, 7–6(1)"
1986,US Open,Martina Navratilova,Helena Suková,"6–3, 6–2"
1986,Wimbledon Championships (Open Era),Martina Navratilova,Hana Mandlíková,"7–6(1), 6–3"
1986,French Open,Chris Evert,Martina Navratilova,"2–6, 6–3, 6–3"
1985,Australian Open,Martina Navratilova,Chris Evert,"6–2, 4–6, 6–2"
1985,US Open,Hana Mandlíková,Martina Navratilova,"7–6(3), 1–6, 7–6(2)"
1985,Wimbledon Championships (Open Era),Martina Navratilova,Chris Evert,"4–6, 6–3, 6–2"
1985,French Open,Chris Evert,Martina Navratilova,"6–3, 6–7(4), 7–5"
1984,Australian Open,Chris Evert,Helena Suková,"6–7(4), 6–1, 6–3"
1984,US Open,Martina Navratilova,Chris Evert,"4–6, 6–4, 6–4"
1984,Wimbledon Championships (Open Era),Martina Navratilova,Chris Evert,"7–6(5), 6–2"
1984,French Open,Martina Navratilova,Chris Evert,"6–3, 6–1"
1983,Australian Open,Martina Navratilova,Kathy Jordan,"6–2, 7–6(5)"
1983,US Open,Martina Navratilova,Chris Evert,"6–1, 6–3"
1983,Wimbledon Championships (Open Era),Martina Navratilova,Andrea Jaeger,"6–0, 6–3"
1983,French Open,Chris Evert,Mima Jaušovec,"6–1, 6–2"
1982,Australian Open,Chris Evert,Martina Navratilova,"6–3, 2–6, 6–3"
1982,US Open,Chris Evert,Hana Mandlíková,"6–3, 6–1"
1982,Wimbledon Championships (Open Era),Martina Navratilova,Chris Evert,"6–1, 3–6, 6–2"
1982,French Open,Martina Navratilova,Andrea Jaeger,"7–6(6), 6–1"
1981,Australian Open,Martina Navratilova,Chris Evert,"6–7(4), 6–4, 7–5"
1981,US Open,Tracy Austin,Martina Navratilova,"1–6, 7–6(4), 7–6(1)"
1981,Wimbledon Championships (Open Era),Chris Evert,Hana Mandlíková,"6–2, 6–2"
1981,French Open,Hana Mandlíková,Sylvia Hanika,"6–2, 6–4"
1980,Australian Open,Hana Mandlíková,Wendy Turnbull,"6–0, 7–5"
1980,US Open,Chris Evert,Hana Mandlíková,"5–7, 6–1, 6–1"
1980,Wimbledon Championships (Open Era),Evonne Goolagong Cawley,Chris Evert,"6–1, 7–6"
1980,French Open,Chris Evert,Virginia Ruzici,"6–0, 6–3"
1979,Australian Open,Barbara Jordan,Sharon Walsh,"6–3, 6–3"
1979,US Open,Tracy Austin,Chris Evert,"6–4, 6–3"
1979,Wimbledon Championships (Open Era),Martina Navratilova,Chris Evert,"6–4, 6–4"
1979,French Open,Chris Evert,Wendy Turnbull,"6–2, 6–0"
1978,Australian Open,Chris O'Neil,Betsy Nagelsen,"6–3, 7–6(3)"
1978,US Open,Chris Evert,Pam Shriver,"7–5, 6–4"
1978,Wimbledon Championships (Open Era),Martina Navratilova,Chris Evert,"2–6, 6–4, 7–5"
1978,French Open,Virginia Ruzici,Mima Jaušovec,"6–2, 6–2"
1977 (2),Australian Open,Evonne Goolagong Cawley,Helen Gourlay,"6–3, 6–0"
1977,US Open,Chris Evert,Wendy Turnbull,"7–6, 6–2"
1977,Wimbledon Championships (Open Era),Virginia Wade,Betty Stöve,"4–6, 6–3, 6–1"
1977,French Open,Mima Jaušovec,Florența Mihai,"6–2, 6–7, 6–1"
1977 (1),Australian Open,Kerry Reid,Dianne Fromholtz,"7–5, 6–2"
1976,US Open,Chris Evert,Evonne Goolagong Cawley,"6–3, 6–0"
1976,Wimbledon Championships (Open Era),Chris Evert,Evonne Goolagong Cawley,"6–3, 4–6, 8–6"
1976,French Open,Sue Barker,Renáta Tomanová,"6–2, 0–6, 6–2"
1976,Australian Open,Evonne Goolagong-Cawley,Renáta Tomanová,"6–2, 6–2"
1975,US Open,Chris Evert,Evonne Goolagong Cawley,"5–7, 6–4, 6–2"
1975,Wimbledon Championships (Open Era),Billie Jean King,Evonne Goolagong Cawley,"6–0, 6–1"
1975,French Open,Chris Evert,Martina Navratilova,"2–6, 6–2, 6–1"
1975,Australian Open,Evonne Goolagong Cawley,Martina Navratilova,"6–3, 6–2"
1974,US Open,Billie Jean King,Evonne Goolagong Cawley,"3–6, 6–3, 7–5"
1974,Wimbledon Championships (Open Era),Chris Evert,Olga Morozova,"6–0, 6–4"
1974,French Open,Chris Evert,Olga Morozova,"6–1, 6–2"
1974,Australian Open,Evonne Goolagong Cawley,Chris Evert,"7–6(5), 4–6, 6–0"
1973,US Open,Margaret Court,Evonne Goolagong Cawley,"7–6, 5–7, 6–2"
1973,Wimbledon Championships (Open Era),Billie Jean King,Chris Evert,"6–0, 7–5"
1973,French Open,Margaret Court,Chris Evert,"6–7(5), 7–6(6), 6–4"
1973,Australian Open,Margaret Court,Evonne Goolagong Cawley,"6–4, 7–5"
1972,US Open,Billie Jean King,Kerry Melville,"6–3, 7–5"
1972,Wimbledon Championships (Open Era),Billie Jean King,Evonne Goolagong Cawley,"6–3, 6–3"
1972,French Open,Billie Jean King,Evonne Goolagong Cawley,"6–3, 6–3"
1972,Australian Open,Virginia Wade,Evonne Goolagong Cawley,"6–4, 6–4"
1971,US Open,Billie Jean King,Rosemary Casals,"6–4, 7–6"
1971,Wimbledon Championships (Open Era),Evonne Goolagong Cawley,Margaret Court,"6–4, 6–1"
1971,French Open,Evonne Goolagong Cawley,Helen Gourlay,"6–3, 7-5"
1971,Australian Open,Margaret Court,Evonne Goolagong Cawley,"2–6, 7–6(0), 7–5"
1970,US Open,Margaret Court,Rosemary Casals,"6–2, 2–6, 6–1"
1970,Wimbledon Championships (Open Era),Margaret Court,Billie Jean King,"14–12, 11–9"
1970,French Open,Margaret Court,Helga Niessen,"6–2, 6–4"
1970,Australian Open,Margaret Court,Kerry Melville,"6–1, 6–3"
1969,US Open,Margaret Court,Nancy Richey,"6–2, 6–2"
1969,Wimbledon Championships (Open Era),Ann Haydon-Jones,Billie Jean King,"3–6, 6–3, 6–2"
1969,French Open,Margaret Court,Ann Jones,"6–1, 4–6, 6–3"
1969,Australian Open,Margaret Court,Billie Jean King,"6–4, 6–1"
1968,US Open,Virginia Wade,Billie Jean King,"6–4, 6–4"
1968,Wimbledon Championships (Open Era),Billie Jean King,Judy Tegart,"9–7, 7–5"
1968,French Open,Nancy Richey,Ann Jones,"5–7, 6–4, 6–1"
1968,Australian Championships,Billie Jean King,Margaret Court,"6–1, 6–2"
1967,U.S. National Championships,Billie Jean King,Ann Haydon-Jones,"11–9, 6–4"
1967,Wimbledon Championships,Billie Jean King,Ann Jones,"6–3, 6–4"
1967,French Championships,Françoise Dürr,Lesley Turner,"4–6, 6–3, 6–4"
1967,Australian Championships,Nancy Richey,Lesley Turner,"6–1, 6–4"
1966,U.S. National Championships,Maria Bueno,Nancy Richey,"6–3, 6–1"
1966,Wimbledon Championships,Billie Jean King,Maria Bueno,"6–3, 3–6, 6–1"
1966,French Championships,Ann Haydon-Jones,Nancy Richey,"6–3, 6–1"
1966,Australian Championships,Margaret Smith,Nancy Richey,walkover
1965,U.S. National Championships,Margaret Smith,Billie Jean Moffitt,"8–6, 7–5"
1965,Wimbledon Championships,Margaret Smith,Maria Bueno,"6–4, 7–5"
1965,French Championships,Lesley Turner,Margaret Smith,"6–3, 6–4"
1965,Australian Championships,Margaret Smith,Maria Bueno,"5–7, 6–4, 5–2, ret"
1964,U.S. National Championships,Maria Bueno,Carole Caldwell Graebner,"6–1, 6–0"
1964,Wimbledon Championships,Maria Bueno,Margaret Smith,"6–4, 7–9, 6–3"
1964,French Championships,Margaret Smith,Maria Bueno,"5–7, 6–1, 6–2"
1964,Australian Championships,Margaret Smith,Lesley Turner,"6–3, 6–2"
1963,U.S. National Championships,Maria Bueno,Margaret Smith,"7–5, 6–4"
1963,Wimbledon Championships,Margaret Smith,Billie Jean Moffitt,"6–3, 6–4"
1963,French Championships,Lesley Turner,Ann Jones,"2–6, 6–3, 7–5"
1963,Australian Championships,Margaret Smith,Jan Lehane,"6–2, 6–2"
1962,U.S. National Championships,Margaret Smith,Darlene R. Hard,"9–7, 6–4"
1962,Wimbledon Championships,Karen Susman,Vera Suková,"6–4, 6–4"
1962,French Championships,Margaret Smith,Lesley Turner,"6–3, 3–6, 7–5"
1962,Australian Championships,Margaret Smith,Jan Lehane,"6–0, 6–2"
1961,U.S. National Championships,Darlene R. Hard,Ann Haydon,"6–3, 6–4"
1961,Wimbledon Championships,Angela Mortimer,Christine Truman,"4–6, 6–4, 7–5"
1961,French Championships,Ann Haydon,Yola Ramírez,"6–2, 6–1"
1961,Australian Championships,Margaret Smith,Jan Lehane,"6–1, 6–4"
1960,U.S. National Championships,Darlene R. Hard,Maria Bueno,"6–4, 10–12, 6–4"
1960,Wimbledon Championships,Maria Bueno,Sandra Reynolds,"8–6, 6–0"
1960,French Championships,Darlene R. Hard,Yola Ramírez,"6–3, 6–4"
1960,Australian Championships,Margaret Smith,Jan Lehane,"7–5, 6–2"
1959,U.S. National Championships,Maria Bueno,Christine Truman,"6–1, 6–4"
