Name,Full name,Country (sports),Residence,Born,Height,Turned pro,Retired,Plays,Coach,Prize money,Int. Tennis HoF,Died,Native name,Official website,College,Nickname(s),National team,Weight,ITF name,Batting,Bowling,Listed height,Listed weight
Ellen Hansell,Ellen Forde Hansell Allerdice,USA,,1869-09-18,,,,Right-handed,,,1965 (member page),"11 May 1937(1937-05-11) (aged 67)Pittsburgh, PA, U.S.",,,,,,,,,,,
Ana Ivanovic,,Serbia and Montenegro (2004–2006)[1][2] Serbia (2006–2016),"Chicago, Illinois[3]",1987-11-06,1.84 m,17 August 2003,28 December 2016,Right-handed (two-handed backhand),,"US$15,510,787",,,Ана ИвановићAna Ivanović,Official website,,,,,,,,,
Simona Halep,,Romania,"Constanța, Romania",1991-09-27,1.68 m,2006,,Right-handed (two-handed backhand),Darren CahillArtemon Apostu-Efremov,"US$37,426,198
4th in all-time rankings[2]",,,,simonahalep.com,,,,,,,,,
Margaret Osborne,,,,,,,,,,,,,,,,,,,,,,,
Joan Fry,Joan Craddock Fry-Lakeman,United Kingdom,,1906-05-06,,,,,,,,29 September 1985(1985-09-29) (aged 79)[1],,,,,,,,,,,
Kerry Melville,Kerry Melville Reid,Australia,,1947-08-07,167 cm,,1979,Right-handed (one-handed backhand),,,,,,,,,,,,,,,
Steffi Graf,Stefanie Maria Graf[1],West Germany (1982–1990) Germany (1990–1999),"Las Vegas, Nevada, U.S.",1969-06-14,1.75 m,18 October 1982,13 August 1999,Right-handed (one-handed backhand),Peter GrafPavel Složil (1986–1991)Heinz Günthardt (1992–1999),"$21,895,277[3]
14th in all-time rankings",2004 (member page),,,,,,,,,,,,
Dominika Cibulková,Dominika Navara Cibulková[1],Slovakia,"Dubai, United Arab Emirates",1989-05-06,1.60 m,2004,2019,Right-handed (two-handed backhand),Matej Lipták,"$13,725,520",,,,,,,,,,,,,
Elena Dementieva,,Russia,"Monte Carlo, Monaco",1981-10-15,1.80 m,25 August 1998,29 October 2010,Right-handed (two-handed backhand),,"$14,867,437",,,,,,,,,,,,,
Agnes Morton,Agnes Mary Morton,,,1872-03-06,,,,,,,,"5 April 1952(1952-04-05) (aged 80)Kensington, London, England",,,,,,,,,,,
Justine Henin,,Belgium,"Brussels, Belgium",1982-06-01,1.67 m,1 January 1999,26 January 2011,Right-handed (one-handed backhand),Carlos Rodríguez (1995–2008; 2010–2011),"US$ 20,863,335[1]
 17th in all-time rankings[1]",2016 (member page),,,,,,,,,,,,
Margaret Smith,,,,,,,,,,,,,,,,,,,,,,,
Karen Susman,,United States,,1942-12-11,,,,Right–handed,,,,,,,,,,,,,,,
Kathy Jordan,,,"Palo Alto, California, United States",1959-12-03,1.73 m,1979,1991,Right-handed (one handed-backhand),,"$1,592,111",,,,,Stanford University,,,,,,,,
Jelena Janković,,Serbia (2006–present) Serbia and Montenegro (2003–2006) FR Yugoslavia (2000–2003),"Dubai, United Arab Emirates",1985-02-28,1.77 m,6 February 2000,,Right-handed (two-handed backhand),,"US$ 19,089,259
 20th in all-time rankings",,,Јелена ЈанковићJelena Janković,,,,,,,,,,
Martina Navratilova,,Czechoslovakia (1956–1975)  United States,"Miami, Florida, U.S.",1956-10-18,1.73 m,1975,2006,"Left-handed (one-handed backhand), born right-handed",,"US$21,626,089[1]
15th in all-time rankings",2000 (member page),,,,,,,,,,,,
Helen Jacobs,Helen Hull Jacobs,United States,,1908-08-06,,,1947,,,,1962 (member page),"June 2, 1997(1997-06-02) (aged 88)East Hampton, New York, U.S.",,,,,,,,,,,
Maud Banks,,,,,,,,,,,,,,,,,,,,,,,
Sylvia Lance,,Australia,,1895-10,,,,,,,,21 October 1982 (1982-10-22) (aged 87),,,,,,,,,,,
Helen Homans,,United States,,,,,,,,,,"March 29, 1949(1949-03-29) (aged 72)",,,,,,,,,,,
Betty Nuthall,Elizabeth May Nuthall Shoemaker,United Kingdom,,1911-05-23,,,,Right-handed,,,1977 (member page),"8 November 1983(1983-11-08) (aged 72)New York City, USA",,,,,,,,,,,
Lindsay Davenport,Lindsay Ann Davenport Leach,United States,"Laguna Beach, California, U.S.",1976-06-08,1.89 m,"February 22, 1993",2010 (last match),Right-handed (two-handed backhand),Robert LansdorpCraig Kardon (1994–1995)Robert Van't Hof (1995–2003)Rick Leach (2004–4)Adam Peterson (2004-2010)[1],"US$22,166,338[2]
13th in all-time rankings",2014 (member page),,,,,,,,,,,,
Markéta Vondroušová,,Czech Republic,"Prague, Czech Republic[1]",1999-06-28,1.73 m,,,Left-handed (two-handed backhand),Jiří HřebecJan Hernych,"$3,790,234",,,,,,,,,,,,,
Rosemary Casals,Rosemary Casals,United States,,1948-09-16,1.59 m,1968,,Right-handed,,"US$ 1,362,222",1996 (member page),,,,,,,,,,,,
A. Louise Brough,Althea Louise Brough,United States,,1923-03-11,1.71 m,,1959,Right-handed (one-handed backhand),,,1967 (member page) (member page),"February 3, 2014(2014-02-03) (aged 90)Vista, California",,,,,,,,,,,
Evonne Goolagong Cawley,Evonne Fay Goolagong,Australia,,1951-07-31,1.68 m,,1983,Right-handed (one-handed backhand),,"US $1,399,431",1988 (member page),,,,,,,,,,,,
Louise Bickerton,Louie Mildred Bickerton Cozens,Australia,,,,,,,,,,6 June 1998(1998-06-06) (aged 95),,,,,,,,,,,
Charlotte Cooper,,,,,,,,,,,,,,,,,,,,,,,
Hazel Hotchkiss,Hazel Virginia Hotchkiss Wightman,United States,,1886-12-20,,,,Right-handed,,,1957 (member page),"December 5, 1974(1974-12-05) (aged 87)Newton, Massachusetts, U.S.",,,,,,,Hazel Wightman,,,,
Marion Vanderhoef,,United States,,1894-12-06,,,,,,,,"June 9, 1985(1985-06-09) (aged 90)New London, CT, U.S.",,,,,,,,,,,
Kornelia Bouman,Cornelia Bouman,Netherlands,,1903-11-23,,,1930,Right-handed,,,,"17 November 1998(1998-11-17) (aged 94)Delden, Netherlands",,,,,,,,,,,
Sabine Lisicki,Sabine Katharina Lisicki,Germany,"Bradenton, Florida, U.S.",1989-09-22,1.78 m,2006,,Right-handed (two-handed backhand),,"US$7,130,368",,,,,,,,,,,,,
Angelique Kerber,,Germany,"Puszczykowo, Poland",1988-01-18,1.73 m,2003,,"Left-handed (two-handed backhand), born right-handed",Torben Beltz (2020–),"US$ 29,985,250
8th in all-time rankings",,,,angelique-kerber.de,,,,,,,,,
Pauline Betz,Pauline Betz Addie,United States,,1919-08-06,1.66 m,1947,1960[1],,,,1965 (member page),"May 31, 2011(2011-05-31) (aged 91)Potomac, Maryland, U.S.",,,,,,,Pauline Addie,,,,
Coral Buttsworth,Coral Annabell McInnes Buttsworth,Australia,,,,,,,,,,"20 December 1985(1985-12-20) (aged 85)Hazelbrook, Australia",,,,,,,,,,,
Yola Ramírez,,Mexico,,1935-03-01,,,,Right–handed,,,,,,,,,,,,,,,
Martina Hingis,,Switzerland,"Feusisberg, Switzerland",1980-09-30,1.70 m,1994,29 October 2017,Right-handed (two-handed backhand),,"US$24,749,074[1]
 11th in all-time rankings",2013 (member page),,,,,,,,,,,,
Julia Sampson,,United States,,1934-02-02,,,1958,,,,,"December 27, 2011(2011-12-27) (aged 77)[1]Newport Beach, California, US",,,,,,,,,,,
Mabel Cahill,Mabel Esmonde Cahill,Ireland,,1863-04-02,,,,Right-handed,,,1976 (member page),1 January 1905(1905-01-01) (aged 41)Ireland,,,,,,,,,,,
Ann Haydon,Ann Shirley Jones,Great Britain,,1938-10-07,,,,Left-handed,,,1985 (member page),,,,,,,,,,,,
Ann Jones,,,,,,,,,,,,,,,,,,,,,,,
Dorothy Green,,,,,,,,,,,,,,,,,,,,,,,
Sloane Stephens,,United States,"Fort Lauderdale, Florida, U.S.[1]",1993-03-20,1.70 m,2009[3],,Right-handed (two-handed backhand),"Kamau Murray (2015–18, 2019–)","US$ 15,634,732",,,,sloanestephens.com,,,,,,,,,
Francesca Schiavone,,Italy,"Milan, Lombardy",1980-06-23,1.66 m,1998,2018,Right-handed (one-handed backhand),,"$11,324,245",,,,schiavonefrancesca.com,,,,,,,,,
Margaret Molesworth,Maud Margaret Mutch Molesworth,Australia,,1894-10-18,,,,,,,,"9 July 1985(1985-07-09) (aged 90)Sydney, New South Wales, Australia",,,,,,,,,,,
Sara Errani,,Italy,"Bologna, Italy",1987-04-29,1.64 m,2002,,Right-handed (two-handed backhand),Pablo Lozano (2004–2016)Michele Montalbini (2017),"$13,532,815",,,,sara-errani.com,,,,,,,,,
Helen Hellwig,,,,,,,,,,,,"November 26, 1960(1960-11-26) (aged 86)Manhattan, New York",,,,,,,,,,,
Iga Świątek,,Poland,"Raszyn, Poland",2001-05-31,1.76 m,,,Right-handed (two-handed backhand),Piotr Sierzputowski,"US$3,299,952",,,,,,,,,,,,,
Roberta Vinci,,Italy,"Palermo, Italy",1983-02-18,1.63 m,1999,14 May 2018,Right-handed (one-handed backhand),,"$11,808,215",,,,,,,,,,,,,
Emily Westacott,Emily Jane Lucy Harding Hood [1],Australia,,1910-05-06,,,,,,,,9 October 1980(1980-10-09) (aged 70),,,,,,,,,,,
Kerry Reid,Kerry Melville Reid,Australia,,1947-08-07,167 cm,,1979,Right-handed (one-handed backhand),,,,,,,,,,,,,,,
Anke Huber,,Germany,"Ludwigshafen, Germany",1974-12-04,1.73 m,1989,31 October 2001,Right-handed (two-handed backhand),,"$4,768,292",,,,,,,,,,,,,
Marion Bartoli,,France,"Geneva,
Switzerland",1984-10-02,1.70 m,February 2000,14 August 2013,Right-handed (two-handed both sides),Walter Bartoli,"$11,055,114[1]",,,,,,,,,,,,,
Phoebe Holcroft Watson,Phoebe Catherine Holcroft Watson,United Kingdom,,1898-10-07,,,,,,,,20 October 1980(1980-10-20) (aged 82),,,,,,,,,,,
Augusta Schultz,,United States,,,,,,,,,,"September 30, 1925(1925-09-30) (aged 54)[2]Asheville, North Carolina",,,,,,,,,,,
Li Na,,China,"Wuhan, Hubei",1982-02-26,1.72 m,1999,April 2002–May 2004; 19 September 2014,Right-handed (two-handed backhand),Jiang Shan (2006–2012)Thomas Högstedt (2009–2010)Michael Mortensen (2011)Carlos Rodríguez (2012–2014),"$16,709,074
 25th in all-time rankings",2019 (member page),,,,Huazhong University of Science and Technology (B.A.),,,,,,,,
Venus Williams,,United States,"Palm Beach Gardens, Florida, U.S.",1980-06-17,1.85 m,"October 31, 1994 (aged 14)",,Right-handed (two-handed backhand),Richard WilliamsOracene PriceDavid Witt (2007–2018)Eric Hechtman (2019-present),"US$42,065,362
2nd in all-time rankings",,,,venuswilliams.com,Indiana University East (BSBA),,,,,,,,
Nancy Richey,,,,1942-08-23,1.60 m,,,Right-handed,,,2003 (member page),,,,,,,,,,,,
Blanche Bingley Hillyard,Blanche Bingley Hillyard,United Kingdom,,1863-11-03,,,,Right-handed,,,2013 (member page),"6 August 1946(1946-08-06) (aged 82)West Sussex, England",,,,,,,,,,,
Hazel Hotchkiss Wightman,Hazel Virginia Hotchkiss Wightman,United States,,1886-12-20,,,,Right-handed,,,1957 (member page),"December 5, 1974(1974-12-05) (aged 87)Newton, Massachusetts, U.S.",,,,,,,Hazel Wightman,,,,
Joyce Fitch,,Australia,"Victoria, Australia",1922-04-03,,,,,,,,"26 July 2012(2012-07-26) (aged 90)Auckland, New Zealand",,,,,,,,,,,
Mary Carter,,,,1934-11-29,,,,,,,,,,,,,,,,,,,
Lottie Dod,"Charlotte ""Lottie"" Dod",United Kingdom,,1871-09-24,1.69 m,,,Right-handed,,,1983 (member page),"27 June 1960(1960-06-27) (aged 88)Sway, England",,,,,,,,,,,
Natasha Zvereva,,"Soviet Union (1988–1991),  CIS (1992),  Unified Team (1992),  Belarus (from 1993)","Minsk, Belarus",1971-04-16,1.74 m,May 1988,2002,Right-handed (two-handed backhand),,"$7,792,503",2010 (member page),,,,,,,,,,,,
Hana Mandlíková,,Czechoslovakia Australia,"Prague, Czech Republic & Delray Beach, Florida",1962-02-19,1.73 m,1978,1990,Right-handed (one handed-backhand),,"$3,340,959",1994 (member page),,,,,,,,,,,,
Anita Lizana,Anita Lizana de Ellis,Chile,,1915-11-19,1.59 m,,,Right-handed,,,,"21 August 1994(1994-08-21) (aged 78)Sutton, London, England",,,,,,,,,,,
Angela Mortimer,,Great Britain,,1932-04-21,,,,,,,1993 (member page),,,,,,,,,,,,
Ellen C. Roosevelt,Ellen Crosby Roosevelt,USA,,1868-08-20,,,,,,,1975 (member page),"September 26, 1954(1954-09-26) (aged 86)Hyde Park, New York, U.S.",,,,,,,,,,,
Nelly Adamson,,Belgium (1933-1936) France (1937 onwards),,1916-12-27,,,,,,,,22 February 2010(2010-02-22) (aged 93),,,,,,,,,,,
Christine Truman,,United Kingdom,,1941-01-16,,,,Right-handed,,,,,,,,,,,Christine Janes,,,,
Alice Marble,,United States,,1913-09-28,,,,,,,1964 (member page),"December 13, 1990(1990-12-13) (aged 77)Palm Springs, California, U.S.",,,,,,,,,,,
Marie Toomey,,,,,,,,,,,,,,,,,,,,,,,
Margaret Court,,Australia,"Perth, Western Australia",1942-07-16,175 cm,1960,1977,Right-handed (one-handed backhand),,,1979 (member page),,,,,,,,,,,,
Dorothy Bundy,Dorothy May Sutton Bundy Cheney,United States,,1916-09-01,,,,,,,2004 (member page),"November 23, 2014(2014-11-23) (aged 98)Escondido, California, U.S.",,,,,,,,,,,
Cilly Aussem,Cäcilia Edith Aussem,Weimar Republic  Nazi Germany (1933–1934),,1909-01-04,,,1935,Right-handed (one-handed backhand),,,,22 March 1963(1963-03-22) (aged 54)Portofino. Italy,,,,,,,,,,,
Maud Watson,Maud Edith Eleanor Watson,United Kingdom,,1864-10-09,,1881,1889,Right-handed,,,,"5 June 1946(1946-06-05) (aged 81)Charmouth, Dorset, England",,,,,,,,,,,
Nell Hopman,Eleanor Mary Hall Hopman,Australia,,1909-03-09,,,1966,,,,,"10 January 1968(1968-01-10) (aged 58)Hawthorn, Victoria",,,,,,,,,,,
Jan Lehane,,Australia,,1941-07-09,,,,Right-handed (double-handed backhand),,,,,,,,,,,Jan O'Neill,,,,
Marion Jones,,,,1975-10-12,,,,,,,,,,,,,,,,,,5 ft 10 in (1.78 m),150 lb (68 kg)
Svetlana Kuznetsova,,Russia,"Moscow, Russia[1]",1985-06-27,1.74 m,2000,,Right-handed (two-handed backhand),Javier Piles,"$25,589,428
 10th in all-time rankings",,,,,,,,,,,,,
Dorothy Head Knode,,,,1925-07-04,,,,Right-handed,,,,"October 25, 2015(2015-10-25) (aged 90)Novato, California, U.S.",,,,,,,,,,,
