Name,Full name,Country (sports),Residence,Born,Height,Turned pro,Retired,Plays,Coach,Prize money,Int. Tennis HoF,Died,Native name,Official website,College,Nickname(s),National team,Weight,ITF name,Batting,Bowling,Listed height,Listed weight
Bianca Andreescu,,Canada,"Thornhill, Ontario, Canada[1]",2000-06-16,1.70 m,2017,,Right-handed (two-handed backhand),Sylvain Bruneau,"$7,000,466",,,,,,,,,,,,,
Kathleen Godfree,Kathleen McKane Godfree,Great Britain,,1896-05-07,,,,Right-handed,,,1978 (member page),"19 June 1992(1992-06-19) (aged 96)London, England",,,,,,,,,,,
Sharon Walsh,,,,1952-02-24,1.74 m,,,Right-handed,,,,,,,,,,,,,,,
Dorothea Douglass Chambers,Dorothea Katherine Douglass Lambert Chambers,United Kingdom,,1878-09-03,,,,,,,1981 (member page),"7 January 1960(1960-01-07) (aged 81)Kensington, London, England",,,,,,,,,,,
Myrtle McAteer,,United States,,1878-06-12,,,,,,,,"October 26, 1952(1952-10-26) (aged 74)Los Angeles, USA",,,,,,,,,,,
Dinara Safina,Dinara Mubinovna Safina,Russia,"Monte Carlo, Monaco",1986-04-27,1.85 m,2000,11 May 2014 (last match 2011)[2],Right-handed (two-handed backhand),,"$10,585,640",,,,,,,,,,,,,
Dora Boothby,Penelope Dora Harvey Boothby,United Kingdom,,1881-08-02,,,,,,,,"22 February 1970(1970-02-22) (aged 88)Hammersmith, England",,,,,,,,,,,
Karolína Plíšková,,Czech Republic,"Monte Carlo, Monaco",1992-03-21,1.86 m,2009,,Right-handed (two-handed backhand),Olga Savchuk (2019–)[1]Azuz Simcich (2017-)[2]Sascha Bajin (2020–)[3],"US$ 20,599,271
18th in all-time rankings[4]",,,,karolina-pliskova.com,,,,,,,,,
Sandra Reynolds,,South Africa,,1939-03-04,,,,,,,,,,,,,,,,,,,
Elisabeth Moore,Elisabeth Holmes Moore,United States,,1876-03-05,,,,Right-handed (one-handed backhand),,,1971 (member page),"January 22, 1959(1959-01-22) (aged 82)Starke, FL, United States",,,,,,,,,,,
May Jacks,,,,,,,,,,,,,,,,,,,,,,,
Sue Barker,,Great Britain,"Stanton, Gloucestershire, England",1956-04-19,1.65 m,1973,1984,Right-handed (1-handed backhand),,"US$ 878,701[1]",,,,,,,,,,,,,
Margaret Osborne duPont,Margaret Evelyn Osborne duPont,United States,,1918-03-04,1.65 m,,,Right-handed,,,1967 (member page),"October 24, 2012(2012-10-24) (aged 94)El Paso, Texas, U.S.",,,,,,,,,,,
Althea Gibson,,United States,,1927-08-25,1.80 m,,1958,Right-handed,,,1971 (member page),"September 28, 2003(2003-09-28) (aged 76)East Orange, New Jersey, U.S.",,,,,,,,,,,
Kim Clijsters,,Belgium,"Bree, BelgiumNew Jersey, U.S.",1983-06-08,1.74 m,17 August 1997,May 2007 – August 2009; September 2012 – February 2020,Right-handed (two-handed backhand),,"US$24,461,695
12th in all-time rankings[1]",2017 (member page),,,kimclijsters.com,,,,,,,,,
Zina Garrison,,United States,"Houston, Texas",1963-11-16,1.64 m,1982,1997,Right-handed (one handed-backhand),,"$4,590,816",,,,,,,,,,,,,
Evonne Goolagong-Cawley,Evonne Fay Goolagong,Australia,,1951-07-31,1.68 m,,1983,Right-handed (one-handed backhand),,"US $1,399,431",1988 (member page),,,,,,,,,,,,
Mary Carter Reitano,,,,1934-11-29,,,,,,,,,,,,,,,,,,,
Wendy Turnbull,,,"Boca Raton, Florida, USA andSandgate, Queensland, Australia",1952-11-26,1.64 m,1975,1989,Right-handed (one handed-backhand),,"US$ 2,769,024",,,,,,,,,,,,,
Helen Wills Moody,Helen Newington WillsHelen Wills MoodyHelen Wills Roark,United States,,1905-10-06,1.71 m,,1938,,,,1959 (member page),"January 1, 1998(1998-01-01) (aged 92)Carmel, CA, United States",,,,,,,,,,,
Sylvia Harper,,Australia,,1895-10,,,,,,,,21 October 1982 (1982-10-22) (aged 87),,,,,,,,,,,
Flavia Pennetta,,Italy,"Brindisi, Italy",1982-02-25,1.72 m,25 February 2000,29 October 2015,Right-handed (two-handed backhand),,"$14,197,886",,,,flaviapennetta.eu,,,,,,,,,
Jennifer Staley,Jennifer Staley Hoad,Australia,,1934-03-03,,,,Left-handed,,,,,,,,,,,,,,,
Irene Peacock,Irene Evelyn Bowder Peacock,South Africa,,1892-07-27,,,,,,,,"13 June 1978(1978-06-13) (aged 85)Johannesburg, South Africa[1]",,,,,,,,,,,
Gabriela Sabatini,Gabriela Beatriz Sabatini,Argentina,"Buenos Aires, ArgentinaBoca Raton, Florida, U.S.",1970-05-16,1.75 m,January 1985,1996,Right-handed (one-handed backhand),,"$8,785,850",2006 (member page),,,,,,,,,,,,
Nancye Wynne,,Australia,,1916-12-02,1.78 m,,,Right-handed,,,2006 (member page),"9 November 2001(2001-11-09) (aged 84)Melbourne, Australia",,,,,,,,,,,
Elizabeth Ryan,Elizabeth Montague Ryan,United States and  United Kingdom,England till death,1892-02-05,,,,,,,1972 (member page),"July 6, 1979(1979-07-06) (aged 87)Wimbledon, England",,,,,,,,,,,
Molla Bjurstedt,Molla Bjurstedt Mallory,Norway United States,,1884-03-06,,,,Right-handed,,,1958 (member page),"November 22, 1959(1959-11-22) (aged 75)Stockholm, Sweden",,,,,,,,,,,
Lambert Chambers,Dorothea Katherine Douglass Lambert Chambers,United Kingdom,,1878-09-03,,,,,,,1981 (member page),"7 January 1960(1960-01-07) (aged 81)Kensington, London, England",,,,,,,,,,,
Juliette Atkinson,Juliette Paxton Atkinson,,,1873-04-15,1.52 m,,,Right-handed,,,1974 (member page),"January 12, 1944(1944-01-12) (aged 70)Lawrenceville, Illinois, United States",,,,,,,,,,,
